set	ensembl_gene	gene_name
lymphoma vs CONTROL	ENSG00000182179	UBA7
lymphoma vs CONTROL	ENSG00000182934	SRPRA
lymphoma vs CONTROL	ENSG00000183597	TANGO2
lymphoma vs CONTROL	ENSG00000184743	ATL3
lymphoma vs CONTROL	ENSG00000184863	RBM33
lymphoma vs CONTROL	ENSG00000186001	LRCH3
lymphoma vs CONTROL	ENSG00000186716	BCR
lymphoma vs CONTROL	ENSG00000186815	TPCN1
lymphoma vs CONTROL	ENSG00000187514	PTMA
lymphoma vs CONTROL	ENSG00000187537	POTEG
lymphoma vs CONTROL	ENSG00000196182	STK40
lymphoma vs CONTROL	ENSG00000196187	TMEM63A
lymphoma vs CONTROL	ENSG00000196924	FLNA
lymphoma vs CONTROL	ENSG00000197226	TBC1D9B
lymphoma vs CONTROL	ENSG00000197321	SVIL
lymphoma vs CONTROL	ENSG00000198408	OGA
lymphoma vs CONTROL	ENSG00000198668	CALM1
lymphoma vs CONTROL	ENSG00000198900	TOP1
lymphoma vs CONTROL	ENSG00000198911	SREBF2
lymphoma vs CONTROL	ENSG00000203485	INF2
lymphoma vs CONTROL	ENSG00000205339	IPO7
lymphoma vs CONTROL	ENSG00000216937	CCDC7
lymphoma vs CONTROL	ENSG00000232196	MTRNR2L4
lymphoma vs CONTROL	ENSG00000244754	N4BP2L2
lymphoma vs CONTROL	ENSG00000256222	MTRNR2L3
lymphoma vs CONTROL	ENSG00000256618	MTRNR2L1
lymphoma vs CONTROL	ENSG00000256892	MTRNR2L7
lymphoma vs CONTROL	ENSG00000269028	MTRNR2L12
lymphoma vs CONTROL	ENSG00000270188	MTRNR2L11
